id,season_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,prev_total_points,prev_minutes,prev_goals_scored,prev_assists,prev_clean_sheets,prev_goals_conceded,prev_own_goals,prev_penalties_saved,prev_penalties_missed,prev_yellow_cards,prev_red_cards,prev_saves,prev_bonus,prev_bps,prev_influence,prev_creativity,prev_threat,prev_ict_index,prev_expected_goals,prev_expected_assists,prev_expected_goal_involvements,avg2_total_points,avg2_goals_scored,avg2_assists,avg2_minutes,avg2_clean_sheets,avg2_saves,avg2_goals_conceded,seasons_played,full_name,position,team_name
58,2019/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,22.2,0.0,0.0,2.2,0.0,0.0,0.0,31.0,0.5,1.0,1207.0,2.0,0.0,23.5,8,Fraser Forster,Goalkeeper,Bournemouth
58,2020/21,30,720,0,0,2,11,0,1,0,0,0,20,0,147,191.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1329.0,3.0,0.0,26.0,9,Fraser Forster,Goalkeeper,Bournemouth
58,2021/22,57,1710,0,0,3,35,0,0,0,1,0,68,6,330,559.8,0.0,0.0,56.2,0.0,0.0,0.0,30.0,720.0,0.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,147.0,191.0,0.0,0.0,19.1,0.0,0.0,0.0,,,,,,,,10,Fraser Forster,Goalkeeper,Bournemouth
58,2022/23,40,1215,0,0,3,24,0,1,0,1,0,32,1,222,267.8,0.0,0.0,26.9,0.0,0.0,0.0,57.0,1710.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,1.0,0.0,68.0,6.0,330.0,559.8,0.0,0.0,56.2,0.0,0.0,0.0,,,,,,,,11,Fraser Forster,Goalkeeper,Bournemouth
58,2023/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1215.0,0.0,0.0,3.0,24.0,0.0,1.0,0.0,1.0,0.0,32.0,1.0,222.0,267.8,0.0,0.0,26.9,0.0,0.0,0.0,,,,,,,,12,Fraser Forster,Goalkeeper,Bournemouth
58,2024/25,19,630,0,0,1,15,0,0,0,0,0,29,0,64,221.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,8.0,9.0,2485.0,3.0,0.0,61.0,13,Fraser Forster,Goalkeeper,Bournemouth
58,2025/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,630.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,64.0,221.0,0.0,0.0,22.2,0.0,0.0,0.0,121.5,6.5,6.5,2537.0,5.0,0.0,53.5,14,Fraser Forster,Goalkeeper,Bournemouth
59,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,137.0,7.0,7.0,2831.0,8.0,0.0,44.0,0,Will Dennis,Goalkeeper,Bournemouth
59,2024/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,6.5,6.0,2727.5,9.0,0.0,35.0,1,Will Dennis,Goalkeeper,Bournemouth
59,2025/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,7.0,6.0,2358.5,10.0,0.0,27.0,2,Will Dennis,Goalkeeper,Bournemouth
60,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,49.0,2.0,0.0,1640.0,3.0,0.0,26.0,0,James Hill,Defender,Bournemouth
60,2023/24,5,74,0,0,0,1,0,0,0,0,0,0,0,22,32.6,2.2,0.0,3.5,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,3.0,4.0,2095.0,2.0,0.0,48.0,1,James Hill,Defender,Bournemouth
60,2024/25,17,443,0,1,1,9,0,0,0,1,0,0,0,55,97.0,38.4,29.0,16.6,0.29,0.25,0.54,5.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,32.6,2.2,0.0,3.5,0.0,0.01,0.01,58.0,2.0,2.0,1469.0,1.5,0.0,34.0,2,James Hill,Defender,Bournemouth
60,2025/26,110,2102,0,3,8,24,2,0,0,5,0,0,4,386,579.4,161.7,119.0,86.3,0.89,1.16,2.04,17.0,443.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,97.0,38.4,29.0,16.6,0.29,0.25,0.54,34.0,1.0,0.0,843.0,1.0,0.0,20.0,3,James Hill,Defender,Bournemouth
61,2025/26,165,3378,1,6,11,51,0,0,0,5,0,0,19,607,857.0,574.2,194.0,162.6,1.35,3.07,4.42,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,1.0,211.0,0.0,0.0,11.0,0,Adrien Truffert,Defender,Bournemouth
62,2025/26,46,1275,0,0,4,27,0,0,0,1,0,0,2,164,267.0,54.3,22.0,34.4,0.02,0.19,0.21,,,,,,,,,,,,,,,,,,,,,,50.0,1.5,2.0,1137.0,4.5,0.0,19.0,0,Bafodé Diakité,Defender,Bournemouth
63,2025/26,19,367,0,0,1,6,0,0,0,0,0,0,0,63,98.4,13.9,10.0,12.2,0.15,0.19,0.34,,,,,,,,,,,,,,,,,,,,,,78.5,3.0,2.5,1982.0,5.5,0.0,32.5,0,Veljko Milosavljevic,Defender,Bournemouth
64,2011/12,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,71.0,3.0,2.0,1901.0,2.0,0.0,38.0,0,Adam Smith,Defender,Bournemouth
