player_id,name,current_club_name,position,sub_position,market_value_in_eur,highest_market_value_in_eur
543164,Rhys Norrington-Davies,Queens Park Rangers,Defender,Left-Back,2500000.0,3000000.0
543387,Cheick Doucouré,Crystal Palace,Midfield,Defensive Midfield,10000000.0,35000000.0
543499,Mohammed Kudus,Tottenham Hotspur,Attack,Right Winger,50000000.0,55000000.0
546712,Anis Ben Slimane,Norwich City,Midfield,Attacking Midfield,2500000.0,3500000.0
547039,Isaak Davies,Cardiff City,Attack,Left Winger,1000000.0,1500000.0
548729,Zeki Amdouni,Burnley FC,Attack,Centre-Forward,7000000.0,15000000.0
553875,Pedro Porro,Tottenham Hotspur,Defender,Right-Back,35000000.0,45000000.0
555076,Romain Faivre,AFC Bournemouth,Midfield,Attacking Midfield,4000000.0,15000000.0
556385,Destiny Udogie,Tottenham Hotspur,Defender,Left-Back,30000000.0,45000000.0
557459,Micky van de Ven,Tottenham Hotspur,Defender,Centre-Back,50000000.0,65000000.0
559130,Harrison Ashby,Newcastle United,Defender,Right-Back,1200000.0,1400000.0
559263,Fábio Carvalho,Brentford FC,Midfield,Attacking Midfield,8000000.0,20000000.0
559801,Niall Huggins,Sunderland AFC,Defender,Right-Back,200000.0,200000.0
564529,Victor Kristiansen,Leicester City,Defender,Left-Back,9000000.0,16000000.0
565093,Bart Verbruggen,Brighton & Hove Albion,Goalkeeper,Goalkeeper,40000000.0,40000000.0
565822,Harvey Elliott,Liverpool FC,Midfield,Attacking Midfield,20000000.0,35000000.0
566799,James Trafford,Manchester City,Goalkeeper,Goalkeeper,25000000.0,30000000.0
567576,Elliot Anderson,Nottingham Forest,Midfield,Central Midfield,75000000.0,75000000.0
568006,Dennis Cirkin,Sunderland AFC,Defender,Left-Back,6000000.0,8000000.0
568177,Cole Palmer,Chelsea FC,Midfield,Attacking Midfield,100000000.0,130000000.0
568559,Radu Drăgușin,Tottenham Hotspur,Defender,Centre-Back,16000000.0,25000000.0
568693,Pape Matar Sarr,Tottenham Hotspur,Midfield,Central Midfield,30000000.0,45000000.0
569663,Mathias Kvistgaarden,Norwich City,Attack,Centre-Forward,6000000.0,15000000.0
570336,Dan Neil,Sunderland AFC,Midfield,Central Midfield,,
571743,Armando Broja,Burnley FC,Attack,Centre-Forward,5000000.0,30000000.0
574448,Harry Tyrer,Everton FC,Goalkeeper,Goalkeeper,,
576314,Jan Paul van Hecke,Brighton & Hove Albion,Defender,Centre-Back,45000000.0,45000000.0
578391,Rayan Aït-Nouri,Manchester City,Defender,Left-Back,40000000.0,40000000.0
578539,Chris Richards,Crystal Palace,Defender,Centre-Back,28000000.0,28000000.0
579295,Melker Widell,Swansea City,Midfield,Central Midfield,1800000.0,1800000.0
581330,Eiran Cashin,Brighton & Hove Albion,Defender,Centre-Back,5000000.0,8000000.0
582078,Will Dennis,AFC Bournemouth,Goalkeeper,Goalkeeper,350000.0,350000.0
583189,Anthony Elanga,Newcastle United,Attack,Right Winger,32000000.0,55000000.0
583199,James McAtee,Nottingham Forest,Midfield,Attacking Midfield,18000000.0,25000000.0
583255,Antoine Semenyo,Manchester City,Attack,Right Winger,80000000.0,80000000.0
583990,Owen Bevan,AFC Bournemouth,Defender,Centre-Back,,
584769,Dwight McNeil,Everton FC,Attack,Left Winger,18000000.0,25000000.0
585323,Filip Jørgensen,Chelsea FC,Goalkeeper,Goalkeeper,15000000.0,20000000.0
585550,Gavin Bazunu,Southampton FC,Goalkeeper,Goalkeeper,8000000.0,18000000.0
585769,George Campbell,West Bromwich Albion,Defender,Centre-Back,2000000.0,2000000.0
587002,Myles Peart-Harris,Brentford FC,Midfield,Attacking Midfield,900000.0,1000000.0
587222,Aune Heggebø,West Bromwich Albion,Attack,Centre-Forward,7000000.0,7000000.0
591949,Aaron Hickey,Brentford FC,Defender,Right-Back,16000000.0,30000000.0
595809,Beto,Everton FC,Attack,Centre-Forward,18000000.0,25000000.0
598577,Florian Wirtz,Liverpool FC,Midfield,Attacking Midfield,100000000.0,140000000.0
601883,Matheus Nunes,Manchester City,Defender,Right-Back,50000000.0,55000000.0
605184,Jean-Clair Todibo,West Ham United,Defender,Centre-Back,22000000.0,35000000.0
605426,Melker Ellborg,Sunderland AFC,Goalkeeper,Goalkeeper,3000000.0,3000000.0
606718,Toti,Wolverhampton Wanderers,Defender,Centre-Back,18000000.0,28000000.0
607223,Rayan Cherki,Manchester City,Midfield,Attacking Midfield,90000000.0,90000000.0
607224,Hannibal,Burnley FC,Midfield,Attacking Midfield,15000000.0,16000000.0
607226,Loum Tchaouna,Burnley FC,Attack,Right Winger,13000000.0,15000000.0
608832,Merlin Röhl,Everton FC,Midfield,Attacking Midfield,16000000.0,18000000.0
609556,William Osula,Newcastle United,Attack,Centre-Forward,28000000.0,28000000.0
610581,Ali Al-Hamadi,Luton Town,Attack,Centre-Forward,1500000.0,2500000.0
610849,Liam Delap,Chelsea FC,Attack,Centre-Forward,28000000.0,40000000.0
611793,James Hill,AFC Bournemouth,Defender,Centre-Back,23000000.0,23000000.0
612517,Bashir Humphreys,Burnley FC,Defender,Centre-Back,12000000.0,15000000.0
612749,Isaac Price,West Bromwich Albion,Midfield,Central Midfield,12000000.0,12000000.0
614258,Levi Colwill,Chelsea FC,Defender,Centre-Back,50000000.0,55000000.0
614811,Joe White,Newcastle United,Midfield,Attacking Midfield,200000.0,300000.0
615302,Mirko Topić,Norwich City,Midfield,Defensive Midfield,4000000.0,5000000.0
617018,Marko Stamenić,Swansea City,Midfield,Central Midfield,3000000.0,5000000.0
617755,Jenson Seelt,Sunderland AFC,Defender,Centre-Back,5000000.0,5000000.0
620322,Malo Gusto,Chelsea FC,Defender,Right-Back,35000000.0,35000000.0
621193,Kasey McAteer,Ipswich Town,Midfield,Right Midfield,10000000.0,12000000.0
621997,Cieran Slicker,Ipswich Town,Goalkeeper,Goalkeeper,350000.0,350000.0
623570,Iliman Ndiaye,Everton FC,Attack,Right Winger,55000000.0,55000000.0
624258,Conor Bradley,Liverpool FC,Defender,Right-Back,25000000.0,30000000.0
624946,Rumarn Burrell,Queens Park Rangers,Attack,Centre-Forward,6000000.0,6000000.0
626474,Rubin Colwill,Cardiff City,Midfield,Attacking Midfield,2000000.0,2000000.0
626724,João Pedro,Chelsea FC,Attack,Centre-Forward,80000000.0,80000000.0
